Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,roll,pitch,yaw
228,1000,-0.533,-0.1,1.0,-7.2
331,1000,-0.541,-0.1,1.0,-7.2
433,1000,-0.547,-0.1,1.0,-7.2
535,1000,-0.555,-0.1,1.0,-7.2
637,1000,-0.563,-0.1,1.0,-7.2
740,1000,-0.568,-0.1,1.0,-7.2
842,1000,-0.572,-0.2,1.0,-7.2
945,1000,-0.58,-0.2,1.0,-7.2
1027,1000,-0.59,-0.2,1.0,-7.2
1129,1000,-0.597,-0.2,1.0,-7.2
1231,1000,-0.601,-0.2,1.0,-7.2
1333,1000,-0.603,-0.2,1.0,-7.2
1435,1000,-0.604,-0.2,1.0,-7.2
1537,1000,-0.604,-0.2,1.0,-7.2
1639,1000,-0.607,-0.2,1.0,-7.2
1741,1000,-0.612,-0.2,1.0,-7.2
1843,1000,-0.615,-0.2,1.0,-7.2
1946,1000,-0.616,-0.2,1.0,-7.2
2028,1000,-0.619,-0.2,1.0,-7.2
2130,1000,-0.624,-0.2,1.0,-7.2
2232,1000,-0.628,-0.2,1.0,-7.2
2334,1000,-0.632,-0.2,1.0,-7.2
2437,1000,-0.634,-0.2,1.0,-7.2
2539,1000,-0.637,-0.2,1.0,-7.2
2640,1000,-0.637,-0.2,1.0,-7.2
2742,1000,-0.638,-0.2,1.0,-7.2
2844,1000,-0.641,-0.2,1.0,-7.3
2926,1000,-0.646,-0.1,1.0,-7.3
3029,1000,-0.651,-0.1,1.0,-7.3
3131,1000,-0.655,-0.1,1.0,-7.3
3233,1000,-0.659,-0.1,1.0,-7.3
3335,1000,-0.662,-0.2,1.0,-7.3
3437,1000,-0.666,-0.2,1.0,-7.3
3538,1000,-0.669,-0.2,1.0,-7.3
3640,1000,-0.673,-0.2,1.0,-7.3
3742,1000,-0.676,-0.2,1.0,-7.3
3843,1000,-0.68,-0.2,1.0,-7.3
3945,1000,-0.682,-0.2,1.0,-7.3
4027,1000,-0.684,-0.2,1.0,-7.3
4128,1000,-0.686,-0.2,1.0,-7.3
4231,1000,-0.688,-0.2,1.0,-7.3
4333,1000,-0.691,-0.2,1.0,-7.3
4436,1000,-0.691,-0.2,1.0,-7.3
4538,1000,-0.694,-0.2,1.0,-7.3
4640,1000,-0.7,-0.1,1.0,-7.3
4743,1000,-0.706,-0.1,1.0,-7.3
4845,1000,-0.711,-0.1,1.0,-7.3
4927,1000,-0.715,-0.1,1.0,-7.3
5030,1000,-0.717,-0.1,1.0,-7.3
5132,1000,-0.719,-0.1,1.0,-7.3
5234,1000,-0.718,-0.1,1.0,-7.3
5337,1000,-0.72,-0.1,1.0,-7.3
5439,1000,-0.722,-0.1,1.0,-7.3
5541,1000,-0.723,-0.1,1.0,-7.3
5644,1000,-0.723,-0.1,1.0,-7.3
5726,1000,-0.723,-0.1,1.0,-7.3
5828,1000,-0.723,-0.1,1.0,-7.3
5931,1000,-0.722,-0.1,1.0,-7.3
6034,1000,-0.721,-0.1,1.0,-7.3
6136,1000,-0.72,-0.1,1.0,-7.3
6238,1000,-0.718,-0.1,1.0,-7.3
