Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,lat,lon,roll,pitch,yaw
[FCU] PreArm: Battery failsafe
[FCU] PreArm: Battery failsafe
240,1000,0.492,21.047888,105.7855289,0.7,1.0,-15.1
342,1000,0.487,21.047888,105.785529,0.7,1.0,-15.1
424,1000,0.483,21.047888,105.785529,0.6,1.0,-15.1
527,1000,0.478,21.047888,105.7855291,0.6,1.0,-15.1
629,1000,0.474,21.047888,105.7855292,0.6,1.0,-15.1
731,1000,0.47,21.047888,105.7855292,0.6,1.0,-15.1
833,1000,0.465,21.047888,105.7855293,0.6,1.0,-15.1
935,1000,0.461,21.047888,105.7855293,0.6,1.0,-15.1
1037,1000,0.454,21.047888,105.7855294,0.6,1.0,-15.1
1140,1000,0.445,21.047888,105.7855295,0.6,1.0,-15.1
1242,1000,0.436,21.047888,105.7855296,0.6,1.0,-15.1
1324,1000,0.424,21.047888,105.7855296,0.6,1.0,-15.1
1426,1000,0.417,21.047888,105.7855297,0.6,1.0,-15.1
1529,1000,0.032,21.047888,105.7855297,0.6,1.0,-15.1
1631,1000,0.046,21.047888,105.7855298,0.6,1.0,-15.1
1734,1000,0.054,21.047888,105.7855299,0.6,1.0,-15.1
1836,1000,0.056,21.047888,105.7855299,0.6,1.0,-15.1
1939,1000,0.058,21.047888,105.78553,0.6,1.0,-15.1
2041,1000,0.06,21.047888,105.7855301,0.6,1.0,-15.1
2144,1000,0.061,21.047888,105.7855301,0.6,1.0,-15.1
2226,1000,0.061,21.047888,105.7855302,0.6,1.0,-15.1
2328,1000,0.062,21.0478881,105.7855303,0.6,1.0,-15.1
2430,1000,0.062,21.0478881,105.7855304,0.6,1.0,-15.1
2531,1000,0.062,21.0478881,105.7855304,0.6,1.0,-15.1
2633,1000,0.062,21.0478881,105.7855305,0.6,1.0,-15.1
2734,1000,0.063,21.0478881,105.7855306,0.6,1.0,-15.1
2835,1000,0.063,21.0478881,105.7855306,0.6,1.0,-15.1
2937,1000,0.063,21.0478881,105.7855307,0.6,1.0,-15.1
3038,1000,0.063,21.0478881,105.7855308,0.6,1.0,-15.1
3140,1000,0.063,21.0478881,105.7855308,0.6,1.0,-15.1
3242,1000,0.063,21.0478881,105.7855309,0.6,1.0,-15.1
3324,1000,0.063,21.0478881,105.785531,0.6,1.0,-15.1
3427,1000,0.063,21.0478881,105.7855311,0.6,1.0,-15.1
3529,1000,0.063,21.0478882,105.7855312,0.6,1.0,-15.1
3632,1000,0.063,21.0478882,105.7855313,0.6,1.0,-15.1
3734,1000,0.063,21.0478882,105.7855313,0.6,1.0,-15.1
3837,1000,0.063,21.0478882,105.7855314,0.6,1.0,-15.1
3939,1000,0.063,21.0478882,105.7855315,0.6,1.0,-15.1
4042,1000,0.063,21.0478882,105.7855316,0.6,1.0,-15.1
4124,1000,0.063,21.0478882,105.7855317,0.6,1.0,-15.1
4226,1000,0.063,21.0478882,105.7855318,0.7,1.0,-15.1
4329,1000,0.063,21.0478883,105.785532,0.7,1.0,-15.1
4431,1000,0.063,21.0478883,105.785532,0.7,1.0,-15.1
4535,1000,0.063,21.0478883,105.7855321,0.7,1.0,-15.1
4637,1000,0.063,21.0478883,105.7855322,0.7,1.0,-15.2
4739,1000,0.063,21.0478884,105.7855323,0.7,1.0,-15.2
4842,1000,0.063,21.0478884,105.7855324,0.7,1.0,-15.2
4924,1000,0.063,21.0478884,105.7855325,0.7,1.0,-15.2
5027,1000,0.063,21.0478884,105.7855326,0.7,1.0,-15.2
5130,1000,0.063,21.0478884,105.7855326,0.6,1.0,-15.2
5232,1000,0.064,21.0478885,105.7855327,0.7,1.0,-15.2
5335,1000,0.064,21.0478885,105.7855328,0.7,1.0,-15.2
5437,1000,0.064,21.0478885,105.7855329,0.7,1.0,-15.2
5540,1000,0.064,21.0478885,105.785533,0.6,1.0,-15.2
5643,1000,0.064,21.0478886,105.7855331,0.7,1.0,-15.2
5726,1000,0.064,21.0478886,105.7855332,0.7,1.0,-15.2
5828,1000,0.064,21.0478886,105.7855333,0.7,1.0,-15.2
5930,1000,0.064,21.0478886,105.7855334,0.7,1.0,-15.2
6033,1000,0.064,21.0478886,105.7855335,0.7,1.0,-15.2
6135,1000,0.064,21.0478886,105.7855335,0.6,1.0,-15.2
6238,1000,0.064,21.0478886,105.7855336,0.6,1.0,-15.2
6339,1000,0.064,21.0478886,105.7855337,0.6,1.0,-15.2
6442,1000,0.064,21.0478886,105.7855337,0.6,1.0,-15.2
6524,1000,0.064,21.0478886,105.7855338,0.6,1.0,-15.2
6627,1000,0.064,21.0478886,105.7855339,0.6,1.0,-15.2
6729,1000,0.064,21.0478886,105.785534,0.6,1.0,-15.2
6832,1000,0.064,21.0478886,105.7855341,0.6,1.0,-15.1
6934,1000,0.064,21.0478886,105.7855342,0.6,1.0,-15.1
7037,1000,0.064,21.0478886,105.7855343,0.6,1.0,-15.2
7139,1000,0.064,21.0478887,105.7855344,0.6,1.0,-15.2
7242,1000,0.064,21.0478887,105.7855345,0.6,1.0,-15.2
7324,1000,0.063,21.0478887,105.7855346,0.6,1.0,-15.2
7426,1000,0.063,21.0478887,105.7855347,0.6,1.0,-15.2
7529,1000,0.063,21.0478888,105.7855348,0.6,1.0,-15.2
7631,1000,0.063,21.0478888,105.7855349,0.6,1.0,-15.2
7734,1000,0.063,21.0478888,105.785535,0.6,1.0,-15.2
7836,1000,0.062,21.0478888,105.7855351,0.6,1.0,-15.2
7938,1000,0.062,21.0478888,105.7855352,0.6,1.0,-15.2
8041,1000,0.062,21.0478889,105.7855353,0.6,1.0,-15.2
8143,1000,0.062,21.0478889,105.7855354,0.6,1.0,-15.2
8225,1000,0.062,21.0478889,105.7855355,0.6,1.0,-15.2
8327,1000,0.062,21.0478889,105.7855356,0.6,1.0,-15.2
8430,1000,0.061,21.0478889,105.7855357,0.6,1.0,-15.2
8533,1000,0.061,21.0478889,105.7855358,0.6,1.0,-15.2
8635,1000,0.061,21.0478889,105.7855359,0.6,1.0,-15.2
8738,1000,0.061,21.0478889,105.7855359,0.6,1.0,-15.2
8840,1000,0.061,21.047889,105.785536,0.6,1.0,-15.2
8942,1000,0.061,21.047889,105.7855361,0.6,1.0,-15.2
9025,1000,0.061,21.047889,105.7855361,0.6,1.0,-15.2
9127,1000,0.061,21.0478891,105.7855362,0.6,1.0,-15.2
9229,1000,0.061,21.0478891,105.7855362,0.6,1.0,-15.2
9332,1000,0.061,21.0478892,105.7855363,0.6,1.0,-15.2
9434,1000,0.061,21.0478892,105.7855364,0.6,1.0,-15.2
9537,1000,0.061,21.0478893,105.7855364,0.6,1.0,-15.2
9640,1000,0.061,21.0478893,105.7855365,0.6,1.0,-15.2
9743,1000,0.061,21.0478894,105.7855365,0.6,1.0,-15.2
9825,1000,0.061,21.0478894,105.7855366,0.6,1.0,-15.2
9927,1000,0.062,21.0478894,105.7855366,0.6,1.0,-15.2
10030,1000,0.062,21.0478894,105.7855367,0.6,1.0,-15.2
10132,1000,0.062,21.0478895,105.7855367,0.6,1.0,-15.2
10235,1000,0.062,21.0478895,105.7855368,0.6,1.0,-15.2
10337,1000,0.062,21.0478895,105.7855369,0.6,1.0,-15.2
10440,1000,0.062,21.0478895,105.7855369,0.6,1.0,-15.2
10543,1000,0.062,21.0478896,105.785537,0.6,1.0,-15.2
10625,1000,0.062,21.0478896,105.7855371,0.6,1.0,-15.2
10727,1000,0.062,21.0478896,105.7855371,0.6,1.0,-15.2
10829,1000,0.062,21.0478896,105.7855372,0.6,1.0,-15.2
10932,1000,0.062,21.0478897,105.7855373,0.6,1.0,-15.2
11034,1000,0.062,21.0478897,105.7855373,0.6,1.0,-15.2
11137,1000,0.062,21.0478897,105.7855374,0.6,1.0,-15.2
11239,1000,0.062,21.0478898,105.7855374,0.6,1.0,-15.2
11344,1000,0.062,21.0478898,105.7855375,0.6,1.0,-15.2
11426,1000,0.062,21.0478899,105.7855376,0.6,1.0,-15.2
11529,1000,0.062,21.0478899,105.7855376,0.6,1.0,-15.2
11631,1000,0.062,21.04789,105.7855377,0.6,1.0,-15.2
11733,1000,0.062,21.04789,105.7855378,0.6,1.0,-15.2
11836,1000,0.062,21.04789,105.7855378,0.6,1.0,-15.2
11938,1000,0.062,21.0478901,105.7855379,0.6,1.0,-15.2
12040,1000,0.062,21.0478901,105.785538,0.6,1.0,-15.2
12143,1000,0.062,21.0478902,105.785538,0.6,1.0,-15.2
12225,1000,0.062,21.0478902,105.7855381,0.6,1.0,-15.2
12327,1000,0.062,21.0478902,105.7855382,0.6,1.0,-15.2
12430,1000,0.062,21.0478902,105.7855382,0.6,1.0,-15.2
12532,1000,0.062,21.0478903,105.7855383,0.6,1.0,-15.2
12634,1000,0.062,21.0478903,105.7855383,0.6,1.0,-15.2
12737,1000,0.062,21.0478903,105.7855384,0.6,1.0,-15.2
12839,1000,0.062,21.0478904,105.7855384,0.6,1.0,-15.2
12941,1000,0.062,21.0478904,105.7855385,0.6,1.0,-15.2
13044,1000,0.062,21.0478904,105.7855385,0.6,1.0,-15.2
13126,1000,0.062,21.0478905,105.7855386,0.6,1.0,-15.2
13228,1000,0.062,21.0478905,105.7855386,0.6,1.0,-15.2
13330,1000,0.062,21.0478905,105.7855387,0.6,1.0,-15.2
13432,1000,0.062,21.0478905,105.7855387,0.6,1.0,-15.2
13535,1000,0.061,21.0478906,105.7855388,0.6,1.0,-15.2
13638,1000,0.061,21.0478906,105.7855389,0.6,1.0,-15.2
13740,1000,0.062,21.0478906,105.785539,0.6,1.0,-15.3
13842,1000,0.062,21.0478907,105.785539,0.6,1.0,-15.3
Setting mode GUIDED...
Mode = GUIDED
14029,1000,0.062,21.0478907,105.7855391,0.6,1.0,-15.3
14131,1000,0.062,21.0478908,105.7855392,0.6,1.0,-15.3
14233,1000,0.062,21.0478908,105.7855393,0.6,1.0,-15.3
14335,1000,0.062,21.0478908,105.7855394,0.6,1.0,-15.3
14436,1000,0.062,21.0478909,105.7855394,0.6,1.0,-15.3
14538,1000,0.062,21.0478909,105.7855395,0.6,1.0,-15.3
14639,1000,0.062,21.0478909,105.7855396,0.6,1.0,-15.3
14741,1000,0.062,21.0478909,105.7855397,0.6,1.0,-15.3
14842,1000,0.062,21.0478909,105.7855397,0.6,1.0,-15.3
14923,1000,0.062,21.047891,105.7855398,0.6,1.0,-15.3
15025,1000,0.062,21.047891,105.7855399,0.6,1.0,-15.3
15126,1000,0.062,21.047891,105.78554,0.6,1.0,-15.3
15228,1000,0.062,21.047891,105.78554,0.6,1.0,-15.3
