Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...,,,,,,,
HEARTBEAT received: 1,0,,,,,,
t_ms,ch6,alt,lat,lon,roll,pitch,yaw
240,1000,0.536,21.0479368,105.7855684,0.4,2.6,-7.8
342,1000,0.532,21.0479368,105.7855684,0.4,2.6,-7.8
424,1000,0.53,21.0479369,105.7855684,0.4,2.6,-7.8
526,1000,0.527,21.0479369,105.7855684,0.4,2.6,-7.8
629,1000,0.528,21.047937,105.7855684,0.4,2.6,-7.9
731,1000,0.529,21.047937,105.7855684,0.4,2.6,-7.9
834,1000,0.529,21.0479371,105.7855684,0.4,2.6,-7.9
936,1000,0.526,21.0479372,105.7855684,0.4,2.6,-7.9
1039,1000,0.523,21.0479372,105.7855685,0.4,2.6,-7.9
1141,1000,0.523,21.0479372,105.7855685,0.4,2.6,-7.9
1243,1000,0.523,21.0479373,105.7855685,0.4,2.6,-7.9
1325,1000,0.523,21.0479373,105.7855685,0.4,2.6,-7.9
1428,1000,0.525,21.0479374,105.7855685,0.4,2.6,-7.9
1530,1000,0.03,21.0479374,105.7855685,0.3,2.6,-7.9
1632,1000,0.047,21.0479375,105.7855684,0.4,2.6,-7.9
1734,1000,0.05,21.0479376,105.7855685,0.4,2.6,-7.9
1837,1000,0.052,21.0479376,105.7855685,0.4,2.6,-7.9
1940,1000,0.053,21.0479377,105.7855685,0.4,2.6,-7.9
2042,1000,0.055,21.0479378,105.7855685,0.4,2.6,-7.9
2145,1000,0.055,21.0479378,105.7855686,0.4,2.6,-7.9
2226,1000,0.056,21.0479379,105.7855686,0.4,2.6,-7.9
2328,1000,0.056,21.047938,105.7855686,0.4,2.6,-7.9
2430,1000,0.056,21.0479381,105.7855686,0.4,2.6,-7.9
2531,1000,0.057,21.0479381,105.7855686,0.4,2.6,-7.9
2633,1000,0.056,21.0479382,105.7855686,0.4,2.6,-7.9
2735,1000,0.057,21.0479383,105.7855686,0.4,2.6,-7.9
2836,1000,0.057,21.0479383,105.7855685,0.4,2.6,-7.9
2938,1000,0.057,21.0479384,105.7855685,0.3,2.6,-7.9
3041,1000,0.057,21.0479385,105.7855685,0.3,2.6,-7.9
3144,1000,0.057,21.0479385,105.7855685,0.3,2.6,-7.9
3226,1000,0.057,21.0479386,105.7855685,0.3,2.6,-7.9
3328,1000,0.057,21.0479386,105.7855685,0.3,2.6,-7.9
3431,1000,0.058,21.0479387,105.7855685,0.3,2.6,-7.9
3533,1000,0.058,21.0479387,105.7855685,0.3,2.6,-7.9
3635,1000,0.058,21.0479388,105.7855685,0.3,2.6,-7.9
3738,1000,0.058,21.0479388,105.7855685,0.3,2.6,-7.9
3841,1000,0.058,21.0479389,105.7855685,0.3,2.6,-7.9
3944,1000,0.058,21.0479389,105.7855684,0.3,2.6,-7.9
4026,1000,0.058,21.047939,105.7855684,0.3,2.6,-7.9
4129,1000,0.058,21.0479391,105.7855684,0.3,2.6,-7.9
4231,1000,0.058,21.0479391,105.7855684,0.3,2.6,-7.9
4334,1000,0.058,21.0479392,105.7855684,0.3,2.6,-7.9
4436,1000,0.058,21.0479393,105.7855684,0.3,2.6,-7.9
4539,1000,0.059,21.0479393,105.7855684,0.3,2.6,-7.9
4642,1000,0.059,21.0479394,105.7855683,0.3,2.6,-7.9
4744,1000,0.059,21.0479395,105.7855683,0.3,2.6,-7.9
4826,1000,0.059,21.0479396,105.7855683,0.3,2.6,-7.9
4928,1000,0.059,21.0479396,105.7855683,0.3,2.6,-7.9
5031,1000,0.059,21.0479397,105.7855682,0.3,2.6,-7.9
5133,1000,0.059,21.0479397,105.7855682,0.3,2.6,-7.9
5235,1000,0.059,21.0479398,105.7855682,0.3,2.6,-7.9
5337,1000,0.059,21.0479398,105.7855682,0.3,2.6,-7.9
