t_ms,vx,vy,vz
1939.952,0.197,-0.132,0.146
1939.974,0.192,-0.147,0.142
1939.995,0.183,-0.166,0.136
1940.016,0.176,-0.175,0.133
1940.079,0.172,-0.176,0.134
1940.141,0.165,-0.176,0.134
1940.224,0.157,-0.175,0.135
1940.287,0.152,-0.170,0.137
1940.349,0.152,-0.170,0.138
1940.433,0.147,-0.182,0.134
1940.495,0.148,-0.198,0.127
1940.558,0.143,-0.201,0.125
1940.640,0.135,-0.193,0.129
1940.702,0.130,-0.184,0.131
1940.785,0.118,-0.165,0.138
1940.848,0.104,-0.148,0.143
1940.910,0.097,-0.139,0.146
1940.993,0.084,-0.122,0.150
1941.056,0.067,-0.112,0.151
1941.138,0.052,-0.099,0.154
1941.201,0.043,-0.091,0.155
1941.263,0.026,-0.077,0.156
1941.346,0.015,-0.063,0.158
1941.409,0.011,-0.057,0.157
1941.471,0.008,-0.054,0.157
1941.555,0.010,-0.054,0.156
1941.616,0.011,-0.058,0.155
1941.680,0.016,-0.058,0.154
1941.742,0.015,-0.057,0.154
1941.825,0.015,-0.054,0.153
1941.887,0.009,-0.045,0.153
1941.950,-0.001,-0.036,0.153
1942.012,-0.009,-0.033,0.152
1942.074,-0.014,-0.021,0.152
1942.158,-0.021,-0.010,0.151
1942.220,-0.025,0.006,0.151
1942.282,-0.028,0.011,0.150
1942.365,-0.032,0.015,0.148
1942.428,-0.036,0.017,0.148
1942.490,-0.043,0.018,0.146
1942.553,-0.044,0.017,0.144
1942.615,-0.048,0.017,0.144
1942.698,-0.043,0.017,0.136
1942.760,-0.042,0.020,0.134
1942.822,-0.042,0.027,0.134
1942.885,-0.046,0.029,0.139
1942.968,-0.043,0.026,0.132
1943.030,-0.047,0.021,0.132
1943.093,-0.049,0.016,0.130
1943.155,-0.055,0.005,0.127
1943.238,-0.062,-0.009,0.126
1943.300,-0.066,-0.014,0.124
1943.363,-0.071,-0.027,0.121
1943.425,-0.071,-0.036,0.120
1943.509,-0.075,-0.040,0.118
1943.571,-0.075,-0.042,0.117
1943.634,-0.075,-0.044,0.117
1943.696,-0.072,-0.043,0.116
1943.779,-0.070,-0.042,0.116
1943.841,-0.068,-0.040,0.116
1943.924,-0.069,-0.037,0.116
1943.986,-0.068,-0.035,0.116
1944.049,-0.063,-0.031,0.117
1944.132,-0.067,-0.024,0.117
1944.194,-0.068,-0.015,0.116
1944.277,-0.071,-0.009,0.115
1944.339,-0.070,-0.001,0.115
1944.422,-0.075,0.003,0.114
1944.485,-0.076,0.004,0.112
1944.547,-0.079,0.004,0.111
1944.631,-0.080,0.004,0.111
1944.693,-0.081,0.002,0.110
1944.755,-0.098,-0.003,0.116
1944.838,-0.098,-0.006,0.116
1944.900,-0.082,-0.005,0.108
1944.983,-0.076,-0.003,0.108
1945.045,-0.073,-0.005,0.109
1945.128,-0.065,-0.006,0.109
1945.190,-0.062,-0.004,0.109
1945.253,-0.056,-0.000,0.108
1945.336,-0.050,0.008,0.108
1945.398,-0.049,0.008,0.107
1945.461,-0.045,0.007,0.107
1945.543,-0.042,0.007,0.107
1945.606,-0.046,0.011,0.118
1945.689,-0.029,0.011,0.108
1945.751,-0.024,0.012,0.107
1945.834,-0.023,0.010,0.108
1945.896,-0.024,0.000,0.107
1945.959,-0.023,-0.011,0.106
1946.042,-0.030,-0.026,0.104
1946.104,-0.024,-0.031,0.123
1946.187,-0.028,-0.045,0.118
1946.250,-0.031,-0.058,0.115
1946.312,-0.032,-0.070,0.111
1946.395,-0.035,-0.082,0.105
1946.458,-0.035,-0.087,0.102
1946.541,-0.040,-0.102,0.095
1946.603,-0.042,-0.112,0.089
1946.666,-0.064,-0.134,0.077
1946.749,-0.045,-0.116,0.085
1946.811,-0.046,-0.117,0.085
1946.893,-0.048,-0.115,0.084
1946.956,-0.070,-0.133,0.074
1947.018,-0.075,-0.139,0.071
1947.101,-0.078,-0.141,0.069
1947.164,-0.063,-0.124,0.074
1947.247,-0.066,-0.123,0.074
1947.309,-0.068,-0.117,0.073
1947.371,-0.068,-0.113,0.073
1947.455,-0.076,-0.107,0.072
1947.517,-0.082,-0.102,0.072
1947.579,-0.084,-0.099,0.072
1947.662,-0.083,-0.097,0.072
1947.724,-0.083,-0.094,0.073
1947.787,-0.122,-0.114,0.069
1947.870,-0.090,-0.091,0.071
1947.932,-0.093,-0.089,0.071
1947.994,-0.095,-0.086,0.070
1948.056,-0.097,-0.085,0.069
1948.139,-0.099,-0.085,0.068
1948.201,-0.099,-0.085,0.068
1948.264,-0.099,-0.086,0.066
1948.347,-0.101,-0.085,0.066
1948.410,-0.144,-0.105,0.062
1948.472,-0.105,-0.085,0.063
1948.556,-0.104,-0.084,0.061
1948.618,-0.108,-0.082,0.060
1948.680,-0.104,-0.080,0.058
1948.742,-0.108,-0.079,0.057
1948.825,-0.110,-0.080,0.055
1948.887,-0.108,-0.081,0.054
1948.950,-0.106,-0.082,0.052
1949.011,-0.106,-0.084,0.052
1949.094,-0.106,-0.084,0.051
1949.157,-0.103,-0.082,0.051
1949.219,-0.102,-0.079,0.052
1949.301,-0.100,-0.077,0.052
1949.364,-0.099,-0.077,0.053
1949.427,-0.097,-0.074,0.054
1949.510,-0.094,-0.073,0.055
1949.572,-0.092,-0.071,0.055
1949.634,-0.091,-0.070,0.056
1949.696,-0.087,-0.070,0.056
1949.779,-0.084,-0.070,0.056
1949.841,-0.083,-0.070,0.056
1949.904,-0.079,-0.069,0.057
1949.987,-0.077,-0.066,0.057
1950.050,-0.073,-0.063,0.059
1950.112,-0.073,-0.061,0.060
1950.194,-0.069,-0.055,0.062
1950.257,-0.063,-0.048,0.064
1950.319,-0.060,-0.047,0.066
1950.382,-0.055,-0.046,0.066
1950.465,-0.050,-0.043,0.067
1950.527,-0.049,-0.040,0.069
1950.589,-0.045,-0.037,0.069
1950.652,-0.042,-0.031,0.070
1950.734,-0.040,-0.026,0.072
1950.797,-0.070,-0.048,0.071
1950.859,-0.056,-0.044,0.071
1950.942,-0.052,-0.041,0.072
1951.004,-0.046,-0.041,0.072
1951.067,-0.043,-0.041,0.071
1951.149,-0.049,-0.043,0.073
1951.211,-0.054,-0.050,0.071
1951.274,-0.051,-0.053,0.068
1951.336,-0.061,-0.066,0.066
1951.399,-0.072,-0.068,0.062
1951.481,-0.073,-0.047,0.084
1951.544,-0.078,-0.049,0.082
1951.606,-0.051,-0.043,0.063
1951.689,-0.076,-0.083,0.000
1951.752,-0.074,-0.085,0.000
1951.814,-0.070,-0.091,0.000
1951.876,-0.065,-0.093,0.000
1951.959,-0.064,-0.093,0.000
1952.022,-0.065,-0.095,0.000
1952.084,-0.062,-0.097,0.000
1952.146,-0.064,-0.099,0.000
1952.209,-0.058,-0.100,0.000
1952.271,-0.050,-0.097,0.000
1952.334,-0.050,-0.092,0.000
1952.396,-0.044,-0.086,0.000
1952.459,-0.041,-0.079,0.000
1952.542,-0.038,-0.074,0.000
1952.604,-0.037,-0.068,0.000
1952.667,-0.025,-0.066,0.000
1952.729,-0.016,-0.056,0.000
1952.791,-0.011,-0.048,0.000
1952.854,-0.010,-0.045,0.000
1952.917,-0.010,-0.034,0.000
1952.979,-0.010,-0.028,0.000
1953.041,-0.003,-0.021,0.000
1953.103,-0.009,-0.015,0.000
1953.166,-0.009,-0.006,0.000
1953.249,0.002,0.001,0.000
1953.311,0.005,0.009,0.000
1953.373,0.011,0.015,0.000
1953.436,0.008,0.021,0.000
1953.498,0.019,0.022,0.000
1953.581,0.025,0.022,0.000
1953.643,0.028,0.015,0.000
1953.706,0.037,0.011,0.000
1954.069,0.000,0.000,0.400
1954.090,0.000,0.000,0.400
1954.111,0.000,0.000,0.400
1954.132,0.000,0.000,0.400
1954.153,0.000,0.000,0.400
1954.174,0.000,0.000,0.400
1954.195,0.000,0.000,0.400
1954.217,0.000,0.000,0.400
1954.238,0.000,0.000,0.400
1954.259,0.000,0.000,0.400
1954.279,0.000,0.000,0.400
1954.300,0.000,0.000,0.400
1954.321,0.000,0.000,0.400
1954.342,0.000,0.000,0.400
1954.363,0.000,0.000,0.400
1954.384,0.000,0.000,0.400
1954.405,0.000,0.000,0.400
1954.426,0.000,0.000,0.400
1954.448,0.000,0.000,0.400
1954.469,0.000,0.000,0.400
1954.489,0.000,0.000,0.400
1954.510,0.000,0.000,0.400
1954.531,0.000,0.000,0.400
1954.552,0.000,0.000,0.400
1954.573,0.000,0.000,0.400
1954.594,0.000,0.000,0.400
1954.615,0.000,0.000,0.400
1954.636,0.000,0.000,0.400
1954.657,0.000,0.000,0.400
1954.678,0.000,0.000,0.400
1954.698,0.000,0.000,0.400
1954.719,0.000,0.000,0.400
1954.741,0.000,0.000,0.400
1954.762,0.000,0.000,0.400
1954.782,0.000,0.000,0.400
1954.803,0.000,0.000,0.400
1954.824,0.000,0.000,0.400
1954.845,0.000,0.000,0.400
1954.866,0.000,0.000,0.400
1954.887,0.000,0.000,0.400
1954.908,0.000,0.000,0.400
1954.929,0.000,0.000,0.400
1954.950,0.000,0.000,0.400
1954.971,0.000,0.000,0.400
1954.991,0.000,0.000,0.400
1955.012,0.000,0.000,0.400
1955.033,0.000,0.000,0.400
1955.055,0.000,0.000,0.400
1955.075,0.000,0.000,0.400
1955.096,0.000,0.000,0.400
1955.117,0.000,0.000,0.400
1955.138,0.000,0.000,0.400
1955.159,0.000,0.000,0.400
1955.180,0.000,0.000,0.400
1955.201,0.000,0.000,0.400
1955.222,0.000,0.000,0.400
1955.243,0.000,0.000,0.400
1955.264,0.000,0.000,0.400
1955.285,0.000,0.000,0.400
1955.305,0.000,0.000,0.400
1955.326,0.000,0.000,0.400
1955.347,0.000,0.000,0.400
1955.368,0.000,0.000,0.400
1955.389,0.000,0.000,0.400
1955.410,0.000,0.000,0.400
1955.431,0.000,0.000,0.400
1955.452,0.000,0.000,0.400
1955.473,0.000,0.000,0.400
1955.493,0.000,0.000,0.400
1955.515,0.000,0.000,0.400
1955.536,0.000,0.000,0.400
1955.557,0.000,0.000,0.400
1955.578,0.000,0.000,0.400
1955.598,0.000,0.000,0.400
1955.620,0.000,0.000,0.400
1955.641,0.000,0.000,0.400
1955.662,0.000,0.000,0.400
1955.683,0.000,0.000,0.400
1955.703,0.000,0.000,0.400
1955.725,0.000,0.000,0.400
1955.746,0.000,0.000,0.400
1955.767,0.000,0.000,0.400
1955.787,0.000,0.000,0.400
1955.809,0.000,0.000,0.400
1955.830,0.000,0.000,0.400
1955.851,0.000,0.000,0.400
1955.871,0.000,0.000,0.400
1955.893,0.000,0.000,0.400
1955.914,0.000,0.000,0.400
1955.935,0.000,0.000,0.400
1955.956,0.000,0.000,0.400
1955.976,0.000,0.000,0.400
1955.997,0.000,0.000,0.400
1956.018,0.000,0.000,0.400
1956.039,0.000,0.000,0.400
1956.060,0.000,0.000,0.400
1956.081,0.000,0.000,0.400
1956.101,0.000,0.000,0.400
1956.123,0.000,0.000,0.400
1956.144,0.000,0.000,0.400
1956.165,0.000,0.000,0.400
1956.186,0.000,0.000,0.400
1956.206,0.000,0.000,0.400
1956.227,0.000,0.000,0.400
